Date	Grid	Trapline	Station	Trap	Observer	TrapType	Feed Used	Species	Fate	Age	Sex	TagChange	Unique	TagLeft	TagRight	Weight	ReproCond	Lactating	Hindfoot	Tail	Ear	Skull Width	Skull Length	Parasites	Orange Mites (Y/N)	Orange Mite Vial	Weather	Temperature	Comments
30/07/2020	Falls	112	5	1	JV	Sherman	Sunflower Seeds	ECHIP	Recap	A	M	0	0	1739		80	NSCR										Cloudy	Cool	
30/07/2020	Falls	112	5	2	JV	Sherman	Sunflower Seeds	DM	New Tag	SA	F	0	1	1973	1972	14	NR	N									Cloudy	Cool	White spot of fur on forehead between ears
30/07/2020	Falls	112	6	1	JV	Sherman	Sunflower Seeds	ECHIP	New Tag	A	M	0	1	1971		90	NSCR										Cloudy	Cool	"Rip in L ear, botfly under genitals"
30/07/2020	Falls	112	6	2	JV	Sherman	Sunflower Seeds	Trap Malfunction																			Cloudy	Cool	
30/07/2020	Falls	112	7	1	JV	Sherman	Sunflower Seeds	Trap Malfunction																			Cloudy	Cool	
30/07/2020	Falls	112	7	2	JV	Sherman	Sunflower Seeds	Trap Malfunction																			Cloudy	Cool	
30/07/2020	Falls	112	8	1	JV	Sherman	Sunflower Seeds	Trap Malfunction																			Cloudy	Cool	
30/07/2020	Falls	112	8	2	JV	Sherman	Sunflower Seeds	STS	Trap Death																		Cloudy	Cool	
30/07/2020	Falls	112	9	1	JV	Sherman	Sunflower Seeds	DM	Recap	SA	M	0	0	1827	1826	16	NSCR										Cloudy	Cool	
30/07/2020	Falls	112	10	1	JV	Sherman	Sunflower Seeds	DM	Recap	SA	M	0	0	1859	1858	16	NSCR										Cloudy	Cool	
30/07/2020	Falls	113	1	1	JV	Sherman	Sunflower Seeds	DM	Recap	SA	M	0	0	1686	1685	15	NSCR										Cloudy	Cool	Missing L hindleg
30/07/2020	Falls	113	1	2	JV	Sherman	Sunflower Seeds	Trap Malfunction																			Cloudy	Cool	
30/07/2020	Falls	113	2	1	JV	Sherman	Sunflower Seeds	ECHIP	Recap	A	F	0	0	1611		85	NR	N									Cloudy	Cool	Botfly beside genitals on R side of body
30/07/2020	Falls	113	2	2	JV	Sherman	Sunflower Seeds	ECHIP	Recap	A	M	0	0	1873		90	NSCR										Cloudy	Cool	
30/07/2020	Falls	113	3	1	JV	Sherman	Sunflower Seeds	DM	Recap	A	F	0	0	1738	1737	20.5	NR	N									Cloudy	Cool	"Botfly beside genitals on L side of body, small rip in L ear"
30/07/2020	Falls	113	3	2	JV	Sherman	Sunflower Seeds	Trap Malfunction																			Cloudy	Cool	
30/07/2020	Falls	113	4	1	JV	Sherman	Sunflower Seeds	DM	Recap	SA	F	0	1	1970	1736	14.5	NR	N									Cloudy	Cool	Retagged L ear
30/07/2020	Falls	113	4	2	JV	Sherman	Sunflower Seeds	DM	Recap	SA	M	0	0	1855	1854	16.5	NSCR										Cloudy	Cool	
30/07/2020	Falls	113	5	1	JV	Sherman	Sunflower Seeds	DM	New Tag	SA	F	0	1	1969	1968	14	PERF	N									Cloudy	Cool	
30/07/2020	Falls	113	5	2	JV	Sherman	Sunflower Seeds	Trap Malfunction																			Cloudy	Cool	
30/07/2020	Falls	113	6	1	JV	Sherman	Sunflower Seeds	STS	Trap Death																		Cloudy	Cool	
30/07/2020	Falls	113	6	2	JV	Sherman	Sunflower Seeds	DM	New Tag	A	M	0	1	1967	1966	15	NSCR										Cloudy	Cool	
30/07/2020	Falls	113	7	1	JV	Sherman	Sunflower Seeds	DM	Recap	A	F	0	0	1684	1683	17.5	PERF	N									Cloudy	Cool	
30/07/2020	Falls	113	7	2	JV	Sherman	Sunflower Seeds	Trap Malfunction																			Cloudy	Cool	
30/07/2020	Falls	113	8	1	JV	Sherman	Sunflower Seeds	Trap Malfunction																			Cloudy	Cool	
30/07/2020	Falls	113	8	2	JV	Sherman	Sunflower Seeds	Trap Malfunction																			Cloudy	Cool	
30/07/2020	Falls	113	9	1	JV	Sherman	Sunflower Seeds	Trap Malfunction																			Cloudy	Cool	
30/07/2020	Falls	113	9	2	JV	Sherman	Sunflower Seeds	Trap Malfunction																			Cloudy	Cool	
30/07/2020	Falls	113	10	1	JV	Sherman	Sunflower Seeds	STS	Trap Death																		Cloudy	Cool	
30/07/2020	Falls	113	10	2	JV	Sherman	Sunflower Seeds	Trap Malfunction																			Cloudy	Cool	
30/07/2020	Falls	402	1	1	JV	Sherman	Sunflower Seeds	Trap Malfunction																			Cloudy	Cool	
30/07/2020	Falls	402	1	2	JV	Sherman	Sunflower Seeds	Trap Malfunction																			Cloudy	Cool	
30/07/2020	Falls	402	2	1	JV	Sherman	Sunflower Seeds	Trap Malfunction																			Cloudy	Cool	
30/07/2020	Falls	402	2	2	JV	Sherman	Sunflower Seeds	Trap Malfunction																			Cloudy	Cool	
30/07/2020	Falls	402	3	1	JV	Sherman	Sunflower Seeds	DM	Recap	A	F	0	0	1680	1679	21.5	PERF/LACT	Y							Y		Cloudy	Cool	"Botfly exit wound on L shoulder, 2 holes in L ear, orange mites around botfly exit wound"
30/07/2020	Falls	402	3	2	JV	Sherman	Sunflower Seeds	DM	New Tag	SA	M	0	1	1965	1964	13.5	NSCR										Cloudy	Cool	
30/07/2020	Falls	402	4	1	JV	Sherman	Sunflower Seeds	Trap Malfunction																			Cloudy	Cool	
30/07/2020	Falls	402	4	2	JV	Sherman	Sunflower Seeds	Trap Malfunction																			Cloudy	Cool	
30/07/2020	Falls	402	5	1	JV	Sherman	Sunflower Seeds	Trap Malfunction																			Cloudy	Cool	
30/07/2020	Falls	402	5	2	JV	Sherman	Sunflower Seeds	Trap Malfunction																			Cloudy	Cool	
30/07/2020	Falls	402	6	1	JV	Sherman	Sunflower Seeds	DM	New Tag	SA	F	0	1	1963	1962	13	NR	N									Cloudy	Cool	
30/07/2020	Falls	402	6	2	JV	Sherman	Sunflower Seeds	Trap Malfunction																			Cloudy	Cool	
30/07/2020	Falls	402	7	1	JV	Sherman	Sunflower Seeds	Trap Malfunction																			Cloudy	Cool	
30/07/2020	Falls	402	7	2	JV	Sherman	Sunflower Seeds	DM	New Tag	SA	F	0	1	1961	1960	14	NR	N									Cloudy	Cool	
30/07/2020	Falls	402	8	1	JV	Sherman	Sunflower Seeds	DM	New Tag	SA	M	0	1	1959	1958	14.5	NSCR										Cloudy	Cool	
30/07/2020	Falls	402	8	2	JV	Sherman	Sunflower Seeds	Trap Malfunction																			Cloudy	Cool	
30/07/2020	Falls	402	9	1	JV	Sherman	Sunflower Seeds	Trap Malfunction																			Cloudy	Cool	
30/07/2020	Falls	402	9	2	JV	Sherman	Sunflower Seeds	Trap Malfunction																			Cloudy	Cool	
30/07/2020	Falls	402	10	1	JV	Sherman	Sunflower Seeds	Trap Malfunction																			Cloudy	Cool	
30/07/2020	Falls	402	10	2	JV	Sherman	Sunflower Seeds	ECHIP	Recap	A	F	0	0	1726		85	NR	N							Y		Cloudy	Cool	Orange mites around genitals
30/07/2020	Falls	201	1	1	SF	Sherman	Sunflower Seeds	DM	Recap	SA	F	0	0	1650	1649	15	NR	N									Clear	Cool	
30/07/2020	Falls	201	1	2	SF	Sherman	Sunflower Seeds	Trap Malfunction																			Clear	Cool	
30/07/2020	Falls	201	2	1	SF	Sherman	Sunflower Seeds	DM	Trap Predation	A	M																Clear	Cool	Top half of mouse found caugh in door - no tags
30/07/2020	Falls	201	2	2	SF	Sherman	Sunflower Seeds	Trap Malfunction																			Clear	Cool	
30/07/2020	Falls	201	3	1	SF	Sherman	Sunflower Seeds	Trap Malfunction																			Clear	Cool	
30/07/2020	Falls	201	3	2	SF	Sherman	Sunflower Seeds	Trap Malfunction																			Clear	Cool	
30/07/2020	Falls	201	4	1	SF	Sherman	Sunflower Seeds	Trap Malfunction																			Clear	Cool	
30/07/2020	Falls	201	4	2	SF	Sherman	Sunflower Seeds	Trap Malfunction																			Clear	Cool	
30/07/2020	Falls	201	5	1	SF	Sherman	Sunflower Seeds	DM	Recap	A	M	0	0	1623	1622	22.5	SCR										Clear	Cool	Botfly on top of right arm - on back
30/07/2020	Falls	201	5	2	SF	Sherman	Sunflower Seeds	Trap Disturbance																			Clear	Cool	Trap moved fair distance from original placement
30/07/2020	Falls	201	6	1	SF	Sherman	Sunflower Seeds	Trap Malfunction																			Clear	Cool	
30/07/2020	Falls	201	6	2	SF	Sherman	Sunflower Seeds	DM	Recap	SA	F	0	0	1988	1987	14.5	NR	N									Clear	Cool	
30/07/2020	Falls	201	7	1	SF	Sherman	Sunflower Seeds	Trap Malfunction																			Clear	Cool	
30/07/2020	Falls	201	8	1	SF	Sherman	Sunflower Seeds	Trap Malfunction																			Clear	Cool	
30/07/2020	Falls	201	8	2	SF	Sherman	Sunflower Seeds	Trap Malfunction																			Clear	Cool	
30/07/2020	Falls	201	9	1	SF	Sherman	Sunflower Seeds	Trap Malfunction																			Clear	Cool	
30/07/2020	Falls	201	9	2	SF	Sherman	Sunflower Seeds	Trap Malfunction																			Clear	Cool	
30/07/2020	Falls	201	10	1	SF	Sherman	Sunflower Seeds	Trap Malfunction																			Clear	Cool	
30/07/2020	Falls	201	10	2	SF	Sherman	Sunflower Seeds	Trap Malfunction																			Clear	Cool	
30/07/2020	Falls	202	1	1	SF	Sherman	Sunflower Seeds	Trap Malfunction																			Clear	Cool	
30/07/2020	Falls	202	1	2	SF	Sherman	Sunflower Seeds	Trap Malfunction																			Clear	Cool	
30/07/2020	Falls	202	2	1	SF	Sherman	Sunflower Seeds	Trap Malfunction																			Clear	Cool	
30/07/2020	Falls	202	2	2	SF	Sherman	Sunflower Seeds	Trap Malfunction																			Clear	Cool	
30/07/2020	Falls	202	3	1	SF	Sherman	Sunflower Seeds	Trap Malfunction																			Clear	Cool	
30/07/2020	Falls	202	3	2	SF	Sherman	Sunflower Seeds	ECHIP	Recap	A	F	0	0	1604		85	NR	N									Clear	Cool	Botfly next to genitals
30/07/2020	Falls	202	4	1	SF	Sherman	Sunflower Seeds	Trap Malfunction																			Clear	Cool	
30/07/2020	Falls	202	4	2	SF	Sherman	Sunflower Seeds	Trap Malfunction																			Clear	Cool	
30/07/2020	Falls	202	5	1	SF	Sherman	Sunflower Seeds	Trap Malfunction																			Clear	Cool	
30/07/2020	Falls	202	5	2	SF	Sherman	Sunflower Seeds	Trap Malfunction																			Clear	Cool	
30/07/2020	Falls	202	6	1	SF	Sherman	Sunflower Seeds	Trap Malfunction																			Clear	Cool	
30/07/2020	Falls	202	6	2	SF	Sherman	Sunflower Seeds	RBV	Handling Death	A	F	0	1	1931		21.5	NR	N							Y		Clear	Cool	Orange mites in left ear around edge
30/07/2020	Falls	202	7	1	SF	Sherman	Sunflower Seeds	Trap Malfunction																			Clear	Cool	
30/07/2020	Falls	202	8	1	SF	Sherman	Sunflower Seeds	Trap Malfunction																			Clear	Cool	
30/07/2020	Falls	202	8	2	SF	Sherman	Sunflower Seeds	Trap Malfunction																			Clear	Cool	
30/07/2020	Falls	202	10	1	SF	Sherman	Sunflower Seeds	DM	New Tag	J	F	0	1	0098	0097	12.5	NR	N									Clear	Cool	
30/07/2020	Falls	203	1	1	SF	Sherman	Sunflower Seeds	Trap Malfunction																			Clear	Cool	
30/07/2020	Falls	203	1	2	SF	Sherman	Sunflower Seeds	STS	Released																		Clear	Cool	
30/07/2020	Falls	203	2	1	SF	Sherman	Sunflower Seeds	Trap Malfunction																			Clear	Cool	
30/07/2020	Falls	203	2	2	SF	Sherman	Sunflower Seeds	Trap Malfunction																			Clear	Cool	
30/07/2020	Falls	203	3	1	SF	Sherman	Sunflower Seeds	Trap Malfunction																			Clear	Cool	
30/07/2020	Falls	203	3	2	SF	Sherman	Sunflower Seeds	Trap Malfunction																			Clear	Cool	
30/07/2020	Falls	203	4	1	SF	Sherman	Sunflower Seeds	Trap Malfunction																			Clear	Cool	
30/07/2020	Falls	203	4	2	SF	Sherman	Sunflower Seeds	Trap Malfunction																			Clear	Cool	
30/07/2020	Falls	203	5	1	SF	Sherman	Sunflower Seeds	Trap Malfunction																			Clear	Cool	
30/07/2020	Falls	203	5	2	SF	Sherman	Sunflower Seeds	Trap Malfunction																			Clear	Cool	
30/07/2020	Falls	203	6	1	SF	Sherman	Sunflower Seeds	Trap Malfunction																			Clear	Cool	
30/07/2020	Falls	203	6	2	SF	Sherman	Sunflower Seeds	Trap Malfunction																			Clear	Cool	
30/07/2020	Falls	203	7	1	SF	Sherman	Sunflower Seeds	Trap Malfunction																			Clear	Cool	
30/07/2020	Falls	203	7	2	SF	Sherman	Sunflower Seeds	Trap Malfunction																			Clear	Cool	
30/07/2020	Falls	203	8	1	SF	Sherman	Sunflower Seeds	Trap Malfunction																			Clear	Cool	
30/07/2020	Falls	203	8	2	SF	Sherman	Sunflower Seeds	DM	Escape	J						15.5											Clear	Cool	Had tags
30/07/2020	Falls	203	9	1	SF	Sherman	Sunflower Seeds	Trap Disturbance																			Clear	Cool	Moved from original placement - trap door very dented
30/07/2020	Falls	203	9	2	SF	Sherman	Sunflower Seeds	Trap Disturbance																			Clear	Cool	Moved from original placement - on side
30/07/2020	Falls	203	10	1	SF	Sherman	Sunflower Seeds	Trap Malfunction																			Clear	Cool	
30/07/2020	Falls	203	10	2	SF	Sherman	Sunflower Seeds	Trap Malfunction																			Clear	Cool	
30/07/2020	Falls	304	1	1	SF	Sherman	Sunflower Seeds	Trap Malfunction																			Clear	Cool	
30/07/2020	Falls	304	1	2	SF	Sherman	Sunflower Seeds	Trap Malfunction																			Clear	Cool	
30/07/2020	Falls	304	2	1	SF	Sherman	Sunflower Seeds	RBV	Trap Predation																		Clear	Cool	Head left in door - no tags but both ears missing
30/07/2020	Falls	304	2	2	SF	Sherman	Sunflower Seeds	Trap Disturbance																			Clear	Cool	
30/07/2020	Falls	304	3	1	SF	Sherman	Sunflower Seeds	Trap Malfunction																			Clear	Cool	
30/07/2020	Falls	304	3	2	SF	Sherman	Sunflower Seeds	Trap Malfunction																			Clear	Cool	
30/07/2020	Falls	304	4	1	SF	Sherman	Sunflower Seeds	Trap Malfunction																			Clear	Cool	
30/07/2020	Falls	304	4	2	SF	Sherman	Sunflower Seeds	Trap Malfunction																			Clear	Cool	
30/07/2020	Falls	304	5	1	SF	Sherman	Sunflower Seeds	Trap Malfunction																			Clear	Cool	
30/07/2020	Falls	304	5	2	SF	Sherman	Sunflower Seeds	Trap Malfunction																			Clear	Cool	
30/07/2020	Falls	304	6	1	SF	Sherman	Sunflower Seeds	Trap Malfunction																			Clear	Cool	
30/07/2020	Falls	304	6	2	SF	Sherman	Sunflower Seeds	Trap Malfunction																			Clear	Cool	
30/07/2020	Falls	304	7	1	SF	Sherman	Sunflower Seeds	Trap Malfunction																			Clear	Cool	
30/07/2020	Falls	304	7	2	SF	Sherman	Sunflower Seeds	ECHIP	Recap	A	M	0	0	1630		90	NSCR										Clear	Cool	
30/07/2020	Falls	304	8	1	SF	Sherman	Sunflower Seeds	Trap Malfunction																			Clear	Cool	
30/07/2020	Falls	304	8	2	SF	Sherman	Sunflower Seeds	Trap Predation																			Clear	Cool	Possibly deer mouse - foot left in trap
30/07/2020	Falls	304	9	1	SF	Sherman	Sunflower Seeds	Trap Malfunction																			Clear	Cool	
30/07/2020	Falls	304	9	2	SF	Sherman	Sunflower Seeds	Trap Malfunction																			Clear	Cool	
30/07/2020	Falls	304	10	1	SF	Sherman	Sunflower Seeds	Trap Malfunction																			Clear	Cool	
30/07/2020	Falls	304	10	2	SF	Sherman	Sunflower Seeds	DM	Recap	SA	M	0	0	1629	1628	17	NSCR										Clear	Cool	
29/07/2020	Falls	111	1	1	JV	Sherman	Sunflower Seeds	ECHIP	Recap	A	F	0	0	1744		65	NR	N									Raining	Cool	
29/07/2020	Falls	111	1	2	JV	Sherman	Sunflower Seeds	Trap Malfunction																			Raining	Cool	
29/07/2020	Falls	111	2	1	JV	Sherman	Sunflower Seeds	Trap Malfunction																			Raining	Cool	
29/07/2020	Falls	111	2	2	JV	Sherman	Sunflower Seeds	DM	Recap	SA	F	0	0	1839	1838	17.5	NR	N									Raining	Cool	"Lump behind genitals, potentially a botfly, did not see breathing pore"
29/07/2020	Falls	111	3	1	JV	Sherman	Sunflower Seeds	DM	Recap	J	F	0	0	1696	1695	12.5	NR	N									Raining	Cool	
29/07/2020	Falls	111	3	2	JV	Sherman	Sunflower Seeds	DM	Recap	A	M	0	0	1844	1843	18.5	NSCR										Raining	Cool	
29/07/2020	Falls	111	4	1	JV	Sherman	Sunflower Seeds	Trap Malfunction																			Raining	Cool	
29/07/2020	Falls	111	4	2	JV	Sherman	Sunflower Seeds	Trap Malfunction																			Raining	Cool	
29/07/2020	Falls	111	5	1	JV	Sherman	Sunflower Seeds	Trap Disturbance																			Raining	Cool	
29/07/2020	Falls	111	5	2	JV	Sherman	Sunflower Seeds	Trap Malfunction																			Raining	Cool	
29/07/2020	Falls	111	6	1	JV	Sherman	Sunflower Seeds	ECHIP	New Tag	A	F	0	1	1735		80	NR	N									Raining	Cool	
29/07/2020	Falls	111	6	2	JV	Sherman	Sunflower Seeds	Trap Malfunction																			Raining	Cool	
29/07/2020	Falls	111	7	1	JV	Sherman	Sunflower Seeds	ECHIP	New Tag	A	F	0	1	1734		85	NR	N									Raining	Cool	
29/07/2020	Falls	111	8	1	JV	Sherman	Sunflower Seeds	DM	Recap	A	M	0	0	1833	1832	19.5	NSCR										Raining	Cool	Botfly on chest between front legs
29/07/2020	Falls	111	8	2	JV	Sherman	Sunflower Seeds	Trap Malfunction																			Raining	Cool	
29/07/2020	Falls	111	9	1	JV	Sherman	Sunflower Seeds	DM	Recap	SA	F	0	1	1835	1733	16	NR	N									Raining	Cool	Retagged R ear
29/07/2020	Falls	111	9	2	JV	Sherman	Sunflower Seeds	DM	Recap	SA	M	0	0	1692	1741	16.5	NSCR										Raining	Cool	
29/07/2020	Falls	111	10	1	JV	Sherman	Sunflower Seeds	DM	Recap	SA	F	0	0	1829	1740	16	NR	N									Raining	Cool	
29/07/2020	Falls	112	1	1	JV	Sherman	Sunflower Seeds	Trap Malfunction																			Raining	Cool	
29/07/2020	Falls	112	1	2	JV	Sherman	Sunflower Seeds	Trap Malfunction																			Raining	Cool	
29/07/2020	Falls	112	2	1	JV	Sherman	Sunflower Seeds	DM	Recap	SA	M	0	0	1859	1858	16	NSCR										Raining	Cool	
29/07/2020	Falls	112	2	2	JV	Sherman	Sunflower Seeds	DM	Recap	SA	M	0	0	1827	1826	17	NSCR										Raining	Cool	
29/07/2020	Falls	112	3	1	JV	Sherman	Sunflower Seeds	Trap Malfunction																			Raining	Cool	
29/07/2020	Falls	112	4	1	JV	Sherman	Sunflower Seeds	Trap Malfunction																			Raining	Cool	
29/07/2020	Falls	112	4	2	JV	Sherman	Sunflower Seeds	DM	Recap	A	F	0	0	1875	1874	17.5	PERF	N									Raining	Cool	
29/07/2020	Falls	112	5	1	JV	Sherman	Sunflower Seeds	ECHIP	Recap	A	M	0	0	1739		85	NSCR										Raining	Cool	
29/07/2020	Falls	112	6	1	JV	Sherman	Sunflower Seeds	Trap Malfunction																			Raining	Cool	
29/07/2020	Falls	112	6	2	JV	Sherman	Sunflower Seeds	Trap Malfunction																			Raining	Cool	
29/07/2020	Falls	112	7	1	JV	Sherman	Sunflower Seeds	Trap Malfunction																			Raining	Cool	
29/07/2020	Falls	112	7	2	JV	Sherman	Sunflower Seeds	Trap Malfunction																			Raining	Cool	
29/07/2020	Falls	112	8	1	JV	Sherman	Sunflower Seeds	Trap Malfunction																			Raining	Cool	
29/07/2020	Falls	112	8	2	JV	Sherman	Sunflower Seeds	Trap Malfunction																			Raining	Cool	
29/07/2020	Falls	112	9	1	JV	Sherman	Sunflower Seeds	Trap Malfunction																			Raining	Cool	
29/07/2020	Falls	112	9	2	JV	Sherman	Sunflower Seeds	Trap Malfunction																			Raining	Cool	
29/07/2020	Falls	112	10	1	JV	Sherman	Sunflower Seeds	STS	Released																		Raining	Cool	
29/07/2020	Falls	113	1	1	JV	Sherman	Sunflower Seeds	DM	Recap	J	F	0	0	1857	1736	15.5	NR	N									Raining	Cool	
29/07/2020	Falls	113	1	2	JV	Sherman	Sunflower Seeds	ECHIP	Recap	A	F	0	0	1611		90	NR	N									Raining	Cool	Botfly on genitals
29/07/2020	Falls	113	2	1	JV	Sherman	Sunflower Seeds	Trap Disturbance																			Raining	Cool	
29/07/2020	Falls	113	2	2	JV	Sherman	Sunflower Seeds	Trap Malfunction																			Raining	Cool	
29/07/2020	Falls	113	3	1	JV	Sherman	Sunflower Seeds	DM	Recap	SA	M	0	0	1686	1685	15	NSCR										Raining	Cool	Missing L hindleg
29/07/2020	Falls	113	3	2	JV	Sherman	Sunflower Seeds	DM	Recap	A	F	0	0	1738	1737	20	NR	N									Raining	Cool	Botfly beside genitals on L side
29/07/2020	Falls	113	4	1	JV	Sherman	Sunflower Seeds	DM	Recap	A	F	0	0	1684	1683	17.5	PERF	N									Raining	Cool	
29/07/2020	Falls	113	4	2	JV	Sherman	Sunflower Seeds	DM	Recap	SA	M	0	0	1855	1854	17	NSCR										Raining	Cool	
29/07/2020	Falls	113	5	1	JV	Sherman	Sunflower Seeds	Trap Malfunction																			Raining	Cool	
29/07/2020	Falls	113	5	2	JV	Sherman	Sunflower Seeds	ECHIP	Recap	A	M	0	0	1873		90	NSCR										Raining	Cool	
29/07/2020	Falls	113	6	1	JV	Sherman	Sunflower Seeds	DM	Recap	A	F	0	0	1682	1681	17	NR	N									Raining	Cool	
29/07/2020	Falls	113	6	2	JV	Sherman	Sunflower Seeds	DM	Recap	A	F	0	0	1866	1865	17	PERF	N									Raining	Cool	
29/07/2020	Falls	113	7	1	JV	Sherman	Sunflower Seeds	DM	Recap	SA	F	0	0	1870	1869	13.5	NR	N									Raining	Cool	
29/07/2020	Falls	113	7	2	JV	Sherman	Sunflower Seeds	Trap Malfunction																			Raining	Cool	
29/07/2020	Falls	113	8	1	JV	Sherman	Sunflower Seeds	Trap Malfunction																			Raining	Cool	
29/07/2020	Falls	113	8	2	JV	Sherman	Sunflower Seeds	Trap Malfunction																			Raining	Cool	
29/07/2020	Falls	113	9	1	JV	Sherman	Sunflower Seeds	Trap Malfunction																			Raining	Cool	
29/07/2020	Falls	113	9	2	JV	Sherman	Sunflower Seeds	Trap Malfunction																			Raining	Cool	
29/07/2020	Falls	113	10	1	JV	Sherman	Sunflower Seeds	Trap Malfunction																			Raining	Cool	
29/07/2020	Falls	113	10	2	JV	Sherman	Sunflower Seeds	Trap Malfunction																			Raining	Cool	
29/07/2020	Falls	402	1	1	JV	Sherman	Sunflower Seeds	DM	New Tag	J	F	0	1	1732	1731	10.5	NR	N									Raining	Cool	1 flea observed
29/07/2020	Falls	402	2	1	JV	Sherman	Sunflower Seeds	Trap Malfunction																			Raining	Cool	
29/07/2020	Falls	402	2	2	JV	Sherman	Sunflower Seeds	Trap Malfunction																			Raining	Cool	
29/07/2020	Falls	402	4	1	JV	Sherman	Sunflower Seeds	WJM	New Tag	A	F	0	1		1730	30	PERF/LACT	Y									Raining	Cool	Rip in both ears
29/07/2020	Falls	402	5	1	JV	Sherman	Sunflower Seeds	DM	Recap	A	F	0	0	1680	1679	22	PERF/LACT	Y									Raining	Cool	Hole in L ear
29/07/2020	Falls	402	6	1	JV	Sherman	Sunflower Seeds	ECHIP	New Tag	A	F	0	1	1729		80	NR	N							Y		Raining	Cool	Orange mites around genitals
29/07/2020	Falls	402	6	2	JV	Sherman	Sunflower Seeds	Trap Malfunction																			Raining	Cool	
29/07/2020	Falls	402	7	1	JV	Sherman	Sunflower Seeds	Trap Malfunction																			Raining	Cool	
29/07/2020	Falls	402	8	1	JV	Sherman	Sunflower Seeds	Trap Malfunction																			Raining	Cool	
