Date	Grid	Trapline	Species	Fate	Age	Sex	TagLeft	TagRight	Orange Mites (Y/N)	Weight	ReproCond	Year
11/08/2020	Falls	3	1	New Tag	SA	1	0037	0036	0	16	NSCR	4
12/08/2020	Falls	3	1	Recap	SA	1	0037	0036	0	16	NSCR	4
11/08/2020	Falls	2	1	New Tag	SA	1	0039	0038	0	14	NSCR	4
11/08/2020	Falls	2	1	New Tag	SA	2	0041	0040	0	8	NR	4
11/08/2020	Falls	2	1	New Tag	SA	1	0045	0044	0	16	NSCR	4
11/08/2020	Falls	2	1	New Tag	A	2	0047	0046	0	23	NR	4
11/08/2020	Falls	1	1	Recap	A	2	0052	1683	0	22.5	PERF	4
12/08/2020	Falls	1	1	Recap	A	2	0052	1683	0	19	PERF	4
13/08/2020	Falls	1	1	Recap	A	2	0052	1683	0	19.5	PERF	4
12/08/2020	Falls	1	1	New Tag	SA	2	0055	0054	0	18.5	NR	4
12/08/2020	Falls	1	1	New Tag	SA	1	0057	0056	0	14	NSCR	4
11/08/2020	Falls	1	1	New Tag	J	1	0059	0058	0	14	NSCR	4
11/08/2020	Falls	1	1	New Tag	SA	1	0061	0060	0	14.5	SCR	4
06/08/2020	Falls	4	1	New Tag	SA	1	0063	0062	0	7	NSCR	4
06/08/2020	Falls	4	1	New Tag	A	2	0065	0064	0	19	LACT	4
20/08/2020	Falls	4	1	Recap	SA	2	0065	0064	0	19.5	NR	4
21/08/2020	Falls	4	1	Recap	A	2	0065	0064	0	19	PERF	4
06/08/2020	Falls	4	1	New Tag	SA	2	0067	0066	0	15	NR	4
21/08/2020	Falls	4	1	Recap	SA	2	0067	0066	0	15.5	NR	4
06/08/2020	Falls	3	1	New Tag	SA	1	0069	0068	0	18	SCR	4
19/08/2020	Falls	3	1	Recap	SA	1	0069	0068	0	16	NSCR	4
06/08/2020	Falls	5	1	New Tag	SA	2	0071	0070	0	15	NR	4
20/08/2020	Falls	5	1	Recap	A	2	0071	0070	0	17	NR	4
06/08/2020	Falls	5	1	New Tag	SA	2	0074	0073	0	17.5	PERF	4
21/08/2020	Falls	5	1	Recap	SA	2	0074	0073	0	18	NR	4
04/08/2020	Falls	5	1	New Tag	A	1	0076	0075	1	22	SCR	4
05/08/2020	Falls	5	1	Recap	A	1	0076	0075	1	20	SCR	4
06/08/2020	Falls	5	1	Recap	A	1	0076	0075	1	20.5	SCR	4
04/08/2020	Falls	5	1	New Tag	SA	1	0079	0078	0	19.5	SCR	4
06/08/2020	Falls	5	1	Recap	SA	1	0079	0078	0	19	SCR	4
19/08/2020	Falls	5	1	Recap	SA	1	0079	0078	0	19.5	NSCR	4
20/08/2020	Falls	5	1	Recap	SA	1	0079	0078	0	18.5	NSCR	4
06/08/2020	Falls	5	1	New Tag	J	2	0085	0084	0	14	NR	4
05/08/2020	Falls	4	1	New Tag	J	2	0087	0086	0	12.5	NR	4
05/08/2020	Falls	3	1	New Tag	SA	2	0089	0088	0	16.5	PERF	4
05/08/2020	Falls	5	1	New Tag	SA	2	0091	0090	0	16	NR	4
19/08/2020	Falls	5	1	Recap	SA	2	0091	0090	0	17.5	NR	4
20/08/2020	Falls	5	1	Recap	SA	2	0091	0090	0	15	NR	4
04/08/2020	Falls	3	1	New Tag	A	1	0094	0093	0	25.5	SCR	4
05/08/2020	Falls	3	1	Recap	A	1	0094	0093	0	22	SCR	4
04/08/2020	Falls	5	1	New Tag	SA	1	0096	0095	0	15.5	SCR	4
30/07/2020	Falls	2	1	New Tag	J	2	0098	0097	0	12.5	NR	4
29/07/2020	Falls	3	1	New Tag	J	2	0100	0099	0	13	NR	4
19/08/2020	Falls	5	1	New Tag	SA	2	0106	0105	0	16	NR	4
20/08/2020	Falls	5	1	Recap	SA	2	0106	0105	0	15.5	NR	4
21/08/2020	Falls	5	1	Recap	SA	2	0106	0105	0	16	NR	4
19/08/2020	Falls	5	1	New Tag	SA	2	0108	0107	0	12	NR	4
20/08/2020	Falls	5	1	Recap	SA	2	0108	0107	0	14	NR	4
21/08/2020	Falls	5	1	Recap	SA	2	0108	0107	0	15	NR	4
19/08/2020	Falls	5	1	New Tag	SA	1	0110	0109	0	15	SCR	4
20/08/2020	Falls	5	1	Recap	A	1	0110	0109	0	17	NSCR	4
19/08/2020	Falls	5	1	New Tag	A	2	0112	0111	0	20	PREG	4
20/08/2020	Falls	5	1	Recap	A	2	0112	0111	0	19	PREG	4
19/08/2020	Falls	5	1	New Tag	SA	2	0114	0113	0	15	NR	4
20/08/2020	Falls	5	1	Recap	SA	2	0114	0113	0	19.5	NR	4
21/08/2020	Falls	5	1	Recap	SA	2	0114	0113	0	16	NR	4
19/08/2020	Falls	5	1	New Tag	A	2	0116	0115	0	22	LACT	4
13/08/2020	Falls	4	1	New Tag	SA	1	0118	0117	0	25	NSCR	4
13/08/2020	Falls	4	1	New Tag	A	2	0120	0119	0	20.5	PERF	4
13/08/2020	Falls	1	1	New Tag	SA	2	0122	0121	0	14.5	NR	4
13/08/2020	Falls	1	1	New Tag	SA	1	0124	0123	0	25	NSCR	4
19/08/2020	Falls	3	1	Recap	A	1	0126	1997	0	22	SCR	4
20/08/2020	Falls	3	1	Recap	A	1	0126	1997	0	22.5	SCR	4
21/08/2020	Falls	3	1	Recap	A	1	0126	1997	0	22.5	SCR	4
19/08/2020	Falls	3	1	Recap	SA	2	0129	1888	0	18.5	PERF	4
20/08/2020	Falls	4	1	New Tag	SA	2	0132	0131	0	16.5	NR	4
21/08/2020	Falls	4	1	Recap	SA	2	0132	0131	0	15	NR	4
20/08/2020	Falls	4	1	New Tag	SA	1	0134	0133	0	16.5	NSCR	4
20/08/2020	Falls	3	1	New Tag	SA	1	0136	0135	0	20.5	SCR	4
20/08/2020	Falls	5	1	New Tag	SA	1	0140	0139	0	14.5	NSCR	4
20/08/2020	Falls	5	1	New Tag	A	1	0142	0141	0	17.5	SCR	4
20/08/2020	Falls	5	1	New Tag	A	2	0144	0143	0	20.5	NR	4
21/08/2020	Falls	5	1	Recap	A	2	0144	0143	0	22	PREG	4
20/08/2020	Falls	5	1	New Tag	SA	1	0146	0145	0	15.5	NSCR	4
19/08/2020	Falls	4	1	New Tag	SA	2	0148	0147	0	15.5	NR	4
21/08/2020	Falls	4	1	Recap	SA	2	0148	0147	0	14	NR	4
19/08/2020	Falls	3	1	New Tag	SA	2	0150	0149	0	25	NR	4
21/08/2020	Falls	9	1	New Tag	A	1	0169	0168	0	18.5	NSCR	4
21/08/2020	Falls	8	1	New Tag	SA	2	0173	0172	0	16	NR	4
21/08/2020	Falls	8	1	New Tag	J	2	0175	0174	0	14.5	NR	4
21/08/2020	Falls	7	1	New Tag	SA	1	0227	0226	0	17	NSCR	4
21/08/2020	Falls	7	1	New Tag	SA	2	0229	0228	0	15.5	NR	4
20/08/2020	Falls	8	1	Recap	J	1	0233	0232	0	15.5	NSCR	4
21/08/2020	Falls	8	1	Recap	J	1	0233	0232	0	16	NSCR	4
20/08/2020	Falls	7	1	New Tag	SA	1	0236	0235	0	16	NSCR	4
20/08/2020	Falls	7	1	New Tag	SA	1	0238	0237	0	17	NSCR	4
21/08/2020	Falls	7	1	Recap	A	1	0238	0237	0	19	NSCR	4
20/08/2020	Falls	7	1	New Tag	J	1	0240	0239	0	13.5	NSCR	4
19/08/2020	Falls	8	1	New Tag	A	1	0243	0242	0	21.5	NSCR	4
20/08/2020	Falls	8	1	Recap	A	1	0243	0242	0	20.5	NSCR	4
21/08/2020	Falls	8	1	Recap	A	1	0243	0242	0	21	NSCR	4
19/08/2020	Falls	8	1	New Tag	SA	2	0245	0244	0	16	NR	4
20/08/2020	Falls	8	1	Recap	SA	2	0245	0244	0	16	NR	4
21/08/2020	Falls	8	1	Recap	SA	2	0245	0244	0	16	NR	4
21/08/2020	Falls	4	1	New Tag	SA	2	0294	0293	0	16	NR	4
21/08/2020	Falls	3	1	New Tag	A	1	0296	0295	0	17.5	NSCR	4
21/08/2020	Falls	5	1	New Tag	SA	1	0298	0297	0	18.5	NSCR	4
21/08/2020	Falls	5	1	New Tag	J	2	0300	0299	0	14	NR	4
19/08/2020	Falls	7	1	Recap	SA	2	1019	1018	0	21	NR	4
19/08/2020	Falls	7	1	Recap	A	2	1022	1021	0	19.5	NR	4
19/08/2020	Falls	4	1	Recap	SA	1	1063	1062	0	17	NSCR	4
20/08/2020	Falls	4	1	Recap	SA	1	1063	1062	0	18	NSCR	4
22/07/2020	Falls	7	1	New Tag	SA	1	1478	1477	0	15	NSCR	4
23/07/2020	Falls	7	1	Recap	SA	1	1478	1477	0	14.5	NSCR	4
04/08/2020	Falls	7	1	Recap	SA	2	1480	1479	0	16.5	NR	4
05/08/2020	Falls	7	1	Recap	SA	2	1480	1479	0	16	NR	4
06/08/2020	Falls	7	1	Recap	SA	2	1480	1479	0	15	NR	4
19/08/2020	Falls	7	1	Recap	SA	2	1480	1479	0	18	NR	4
20/08/2020	Falls	7	1	Recap	SA	2	1480	1479	0	17	NR	4
21/08/2020	Falls	7	1	Recap	SA	2	1480	1479	0	16.5	NR	4
22/07/2020	Falls	7	1	New Tag	J	2	1480	1479	0	14.5	NR	4
23/07/2020	Falls	7	1	Recap	J	2	1480	1479	0	15	NR	4
04/08/2020	Falls	7	1	Recap	SA	2	1482	1481	0	17	NR	4
06/08/2020	Falls	7	1	Recap	SA	2	1482	1481	0	18	NR	4
19/08/2020	Falls	7	1	Recap	SA	2	1482	1481	0	17	NR	4
20/08/2020	Falls	7	1	Recap	SA	2	1482	1481	0	16.5	NR	4
21/08/2020	Falls	7	1	Recap	SA	2	1482	1481	0	17.5	NR	4
22/07/2020	Falls	7	1	New Tag	SA	2	1482	1481	0	15	NR	4
23/07/2020	Falls	7	1	Recap	SA	2	1482	1481	0	16.5	NR	4
04/08/2020	Falls	7	1	Recap	SA	1	1484	1483	1	16.5	NSCR	4
05/08/2020	Falls	7	1	Recap	SA	1	1484	1483	1	17.5	NSCR	4
06/08/2020	Falls	7	1	Recap	SA	1	1484	1483	1	17.5	NSCR	4
22/07/2020	Falls	7	1	New Tag	SA	1	1484	1483	0	16.5	NSCR	4
23/07/2020	Falls	7	1	Recap	SA	1	1484	1483	0	16.5	NSCR	4
21/07/2020	Falls	8	1	New Tag	SA	1	1487	1486	1	15	NSCR	4
22/07/2020	Falls	8	1	Recap	SA	1	1487	1486	1	15.5	NSCR	4
23/07/2020	Falls	8	1	Recap	SA	1	1487	1486	1	15.5	NSCR	4
21/07/2020	Falls	8	1	New Tag	J	2	1490	1489	0	14	NR	4
22/07/2020	Falls	8	1	Recap	J	2	1490	1489	0	14	NR	4
04/08/2020	Falls	8	1	Recap	SA	2	1492	1491	0	14.5	NR	4
05/08/2020	Falls	8	1	Recap	SA	2	1492	1491	0	13	NR	4
06/08/2020	Falls	8	1	Recap	SA	2	1492	1491	0	13	NR	4
21/07/2020	Falls	8	1	New Tag	J	2	1492	1491	0	13	NR	4
22/07/2020	Falls	8	1	Recap	J	2	1492	1491	0	15	NR	4
23/07/2020	Falls	8	1	Recap	J	2	1492	1491	0	13	NR	4
04/08/2020	Falls	8	1	Recap	SA	2	1494	1493	0	15.5	NR	4
05/08/2020	Falls	8	1	Recap	SA	2	1494	1493	0	14.5	NR	4
06/08/2020	Falls	8	1	Recap	SA	2	1494	1493	0	13	NR	4
19/08/2020	Falls	8	1	Recap	SA	2	1494	1493	0	15.5	NR	4
20/08/2020	Falls	8	1	Recap	SA	2	1494	1493	0	15.5	NR	4
21/07/2020	Falls	8	1	New Tag	J	2	1494	1493	0	13.5	NR	4
21/08/2020	Falls	8	1	Recap	SA	2	1494	1493	0	15.5	NR	4
22/07/2020	Falls	8	1	Recap	J	2	1494	1493	0	13.5	NR	4
23/07/2020	Falls	8	1	Recap	J	2	1494	1493	0	16	NR	4
04/08/2020	Falls	7	1	Recap	A	2	1533	1532	0	21	PERF	4
05/08/2020	Falls	7	1	Recap	A	2	1533	1532	0	21.5	PERF	4
06/08/2020	Falls	7	1	Recap	A	2	1533	1532	0	19	PERF	4
19/08/2020	Falls	7	1	Recap	A	2	1533	1532	0	22	NR	4
20/08/2020	Falls	7	1	Recap	A	2	1533	1532	0	20.5	NR	4
21/07/2020	Falls	7	1	New Tag	A	2	1533	1532	0	20	PERF	4
21/08/2020	Falls	7	1	Recap	A	2	1533	1532	0	21	NR	4
22/07/2020	Falls	7	1	Recap	A	2	1533	1532	0	20.5	PERF	4
23/07/2020	Falls	7	1	Recap	A	2	1533	1532	0	20	PERF	4
21/07/2020	Falls	7	1	New Tag	A	1	1535	1534	0	18.5	SCR	4
23/07/2020	Falls	7	1	Recap	A	1	1535	1534	0	19	SCR	4
04/08/2020	Falls	7	1	Recap	A	1	1537	1536	0	18.5	NSCR	4
05/08/2020	Falls	7	1	Recap	A	1	1537	1536	0	18.5	NSCR	4
06/08/2020	Falls	7	1	Recap	A	1	1537	1536	0	19	NSCR	4
19/08/2020	Falls	7	1	Recap	A	1	1537	1536	0	19	NSCR	4
20/08/2020	Falls	7	1	Recap	A	1	1537	1536	0	20	NSCR	4
21/07/2020	Falls	7	1	New Tag	SA	1	1537	1536	0	17.5	NSCR	4
21/08/2020	Falls	7	1	Recap	A	1	1537	1536	0	19.5	NSCR	4
22/07/2020	Falls	7	1	Recap	SA	1	1537	1536	0	16.5	NSCR	4
23/07/2020	Falls	7	1	Recap	SA	1	1537	1536	0	16	NSCR	4
04/08/2020	Falls	7	1	Recap	SA	2	1539	1538	0	16.5	NR	4
05/08/2020	Falls	7	1	Recap	SA	2	1539	1538	0	17	NR	4
06/08/2020	Falls	7	1	Recap	SA	2	1539	1538	0	16	NR	4
19/08/2020	Falls	7	1	Recap	A	2	1539	1538	0	17	NR	4
19/08/2020	Falls	7	1	Released			1539	1538	0			4
20/08/2020	Falls	7	1	Recap	SA	2	1539	1538	0	16.5	NR	4
21/07/2020	Falls	7	1	New Tag	SA	2	1539	1538	0	15.5	NR	4
21/08/2020	Falls	7	1	Recap	A	2	1539	1538	0	17.5	NR	4
22/07/2020	Falls	7	1	Recap	SA	2	1539	1538	0	15.5	NR	4
23/07/2020	Falls	7	1	Recap	SA	2	1539	1538	0	16.5	NR	4
13/07/2020	Falls	3	1	New Tag	J	1	1607	1606	0	24.5	NSCR	4
13/07/2020	Falls	3	1	New Tag	SA	1	1609	1608	0	14.5	NSCR	4
14/07/2020	Falls	3	1	Recap	SA	1	1609	1608	0	13.5	NSCR	4
28/07/2020	Falls	3	1	Recap	SA	1	1609	1608	0	15	NSCR	4
29/07/2020	Falls	3	1	Recap	SA	1	1609	1608	0	15	NSCR	4
11/08/2020	Falls	2	1	Recap	SA	2	1613	1612	0	16	NR	4
13/07/2020	Falls	2	1	New Tag	J	2	1613	1612	0	14	NR	4
14/07/2020	Falls	2	1	Recap	J	2	1613	1612	0	15	NR	4
29/07/2020	Falls	2	1	Recap	SA	2	1613	1612	0	15	NR	4
13/07/2020	Falls	2	1	New Tag	SA	2	1615	1614	0	18	NR	4
14/07/2020	Falls	2	1	Recap	SA	2	1615	1614	0	18.5	NR	4
28/07/2020	Falls	2	1	Recap	SA	2	1615	1614	0	19	NR	4
29/07/2020	Falls	2	1	Recap	SA	2	1615	1614	0	20.5	NR	4
13/07/2020	Falls	2	1	New Tag	SA	2	1617	1616	0	16.5	NR	4
14/07/2020	Falls	2	1	Recap	SA	2	1617	1616	0	14.5	NR	4
28/07/2020	Falls	2	1	Recap	SA	2	1617	1616	0	15	NR	4
13/07/2020	Falls	2	1	New Tag	A	1	1619	1618	0	20.5	SCR	4
14/07/2020	Falls	2	1	Recap	SA	1	1619	1618	0	21.5	SCR	4
28/07/2020	Falls	2	1	Recap	A	1	1619	1618	0	21.5	SCR	4
11/08/2020	Falls	2	1	Recap	A	1	1623	1622	0	23	SCR	4
12/08/2020	Falls	2	1	Recap	A	1	1623	1622	0	22	SCR	4
13/07/2020	Falls	2	1	New Tag	SA	1	1623	1622	0	19.5	NSCR	4
30/07/2020	Falls	2	1	Recap	A	1	1623	1622	0	22.5	SCR	4
13/07/2020	Falls	2	1	New Tag	SA	2	1625	1624	0	18.5	NR	4
13/07/2020	Falls	3	1	New Tag	SA	2	1627	1626	0	13.5	NR	4
14/07/2020	Falls	3	1	Recap	SA	2	1627	1626	0	12	NR	4
29/07/2020	Falls	3	1	Recap	J	2	1627	1626	0	14.5	NR	4
12/07/2020	Falls	3	1	New Tag	SA	1	1629	1628	0	15	NSCR	4
13/07/2020	Falls	3	1	Recap	SA	1	1629	1628	0	15.5	NSCR	4
14/07/2020	Falls	3	1	Recap	SA	1	1629	1628	0	15	NSCR	4
28/07/2020	Falls	3	1	Recap	SA	1	1629	1628	0	17	NSCR	4
29/07/2020	Falls	3	1	Recap	SA	1	1629	1628	0	17	NSCR	4
30/07/2020	Falls	3	1	Recap	SA	1	1629	1628	0	17	NSCR	4
12/07/2020	Falls	3	1	New Tag	J	2	1632	1631	0	15	NR	4
13/07/2020	Falls	3	1	Recap	J	2	1632	1631	0	14.5	NR	4
14/07/2020	Falls	3	1	Recap	J	2	1632	1631	0	14	NR	4
28/07/2020	Falls	3	1	Recap	SA	2	1632	1631	0	16	NR	4
29/07/2020	Falls	3	1	Recap	SA	2	1632	1631	0	15.5	NR	4
12/07/2020	Falls	3	1	New Tag	A	1	1634		0	22	SCR	4
13/07/2020	Falls	3	1	Recap	A	1	1634	1633	0	20.5	SCR	4
14/07/2020	Falls	3	1	Recap	A	1	1634	1633	0	20	SCR	4
28/07/2020	Falls	3	1	Recap	A	1	1634	1633	0	22.5	SCR	4
12/07/2020	Falls	3	1	New Tag	SA	1	1636	1635	0	15	NSCR	4
13/07/2020	Falls	3	1	Recap	SA	1	1636	1635	0	14.5	NSCR	4
12/07/2020	Falls	3	1	New Tag	SA	1	1638	1637	0	15.5	NSCR	4
13/07/2020	Falls	3	1	Recap	SA	1	1638	1637	0	15.5	NSCR	4
28/07/2020	Falls	3	1	Recap	SA	1	1638	1637	0	15	NSCR	4
11/08/2020	Falls	2	1	Recap	SA	1	1641	1640	0	15	NSCR	4
12/07/2020	Falls	2	1	New Tag	J	1	1641	1640	0	14	NSCR	4
28/07/2020	Falls	2	1	Recap	SA	1	1641	1640	1	14.5	NSCR	4
12/07/2020	Falls	2	1	New Tag	SA	1	1643	1642	0	15.5	SCR	4
29/07/2020	Falls	2	1	Recap	SA	1	1643	1642	0	17.5	NSCR	4
12/07/2020	Falls	2	1	New Tag	J	1	1645	1644	0	13	NSCR	4
13/07/2020	Falls	2	1	Recap	J	1	1645	1644	0	16	NSCR	4
29/07/2020	Falls	2	1	Recap	J	1	1645	1644	0	16.5	NSCR	4
12/07/2020	Falls	2	1	New Tag	SA	1	1647	1646	0	18	SCR	4
13/07/2020	Falls	2	1	Recap	SA	1	1647	1646	0	17	SCR	4
14/07/2020	Falls	2	1	Recap	SA	1	1647	1646	0	18	SCR	4
11/08/2020	Falls	2	1	Recap	SA	2	1650	1649	0	14.5	PERF	4
12/07/2020	Falls	2	1	New Tag	SA	2	1650	1649	0	15	NR	4
13/07/2020	Falls	2	1	Recap	SA	2	1650	1649	0	15	NR	4
28/07/2020	Falls	2	1	Recap	SA	2	1650	1649	0	14.5	NR	4
29/07/2020	Falls	2	1	Recap	SA	2	1650	1649	0	16	NR	4
30/07/2020	Falls	2	1	Recap	SA	2	1650	1649	0	15	NR	4
15/07/2020	Falls	4	1	New Tag	J	1	1678	1676	0	13	NSCR	4
16/07/2020	Falls	4	1	Recap	J	1	1678	1676	0	13.5	NSCR	4
15/07/2020	Falls	4	1	New Tag	A	2	1680	1679	0	25	LACT	4
16/07/2020	Falls	4	1	Recap	SA	2	1680	1679	0	23.5	LACT	4
17/07/2020	Falls	4	1	Recap	A	2	1680	1679	0	27.5	LACT	4
28/07/2020	Falls	4	1	Recap	A	2	1680	1679	1	23	LACT	4
29/07/2020	Falls	4	1	Recap	A	2	1680	1679	1	22	PERF/LACT	4
30/07/2020	Falls	4	1	Recap	A	2	1680	1679	1	21.5	PERF/LACT	4
15/07/2020	Falls	1	1	New Tag	SA	2	1682	1681	0	14.5	NR	4
16/07/2020	Falls	1	1	Recap	SA	2	1682	1681	0	16	NR	4
29/07/2020	Falls	1	1	Recap	A	2	1682	1681	0	17	NR	4
15/07/2020	Falls	1	1	New Tag	A	2	1684	1683	0	19.5	NR	4
16/07/2020	Falls	1	1	Recap	A	2	1684	1683	0	19.75	NR	4
17/07/2020	Falls	1	1	Recap	A	2	1684	1683	0	20	NR	4
28/07/2020	Falls	1	1	Recap	A	2	1684	1683	0	19	NR	4
29/07/2020	Falls	1	1	Recap	A	2	1684	1683	0	17.5	PERF	4
30/07/2020	Falls	1	1	Recap	A	2	1684	1683	0	17.5	PERF	4
15/07/2020	Falls	1	1	New Tag	SA	1	1686	1685	0	15.5	NSCR	4
16/07/2020	Falls	1	1	Recap	SA	1	1686	1685	0	15	NSCR	4
17/07/2020	Falls	1	1	Recap	SA	1	1686	1685	0	14.5	NSCR	4
28/07/2020	Falls	1	1	Recap	SA	1	1686	1685	0	16	NSCR	4
29/07/2020	Falls	1	1	Recap	SA	1	1686	1685	0	15	NSCR	4
30/07/2020	Falls	1	1	Recap	SA	1	1686	1685	0	15	NSCR	4
13/08/2020	Falls	1	1	Recap	SA	1	1688	1687	0	15	NR	4
15/07/2020	Falls	1	1	New Tag	SA	1	1688	1687	0	16.5	NSCR	4
16/07/2020	Falls	1	1	Recap	SA	1	1688	1687	0	17	NSCR	4
17/07/2020	Falls	1	1	Recap	SA	1	1688	1687	0	17.5	NSCR	4
28/07/2020	Falls	1	1	Recap	SA	1	1688	1687	0	16	NSCR	4
30/07/2020	Falls	1	1	Recap	SA	1	1688	1687	0	15.5	NSCR	4
15/07/2020	Falls	1	1	New Tag	SA	2	1690	1689	0	15.5	NR	4
16/07/2020	Falls	1	1	Recap	SA	2	1690	1689	0	16	NR	4
11/08/2020	Falls	1	1	Recap	SA	1	1692	1741	0	17.5	SCR	4
12/08/2020	Falls	1	1	Recap	SA	1	1692	1741	0	17.5	NSCR	4
15/07/2020	Falls	1	1	Recap	SA	1	1692	1691	0	16.5	NSCR	4
16/07/2020	Falls	1	1	Recap	SA	1	1692	1691	0	16	NSCR	4
17/07/2020	Falls	1	1	Recap	SA	1	1692	1691	0	17	NSCR	4
28/07/2020	Falls	1	1	Recap	SA	1	1692	1741	0	18	NSCR	4
29/07/2020	Falls	1	1	Recap	SA	1	1692	1741	0	16.5	NSCR	4
30/07/2020	Falls	1	1	Recap	SA	1	1692	1741	0	17	NSCR	4
15/07/2020	Falls	1	1	New Tag	SA	1	1694		0	17.5	NSCR	4
16/07/2020	Falls	1	1	Recap	SA	1	1694	1693	0	17	NSCR	4
15/07/2020	Falls	1	1	New Tag	J	2	1696	1695	0	13.5	NR	4
16/07/2020	Falls	1	1	Recap	J	2	1696	1695	0	12.5	NR	4
28/07/2020	Falls	1	1	Recap	J	2	1696	1695	0	13.5	NR	4
29/07/2020	Falls	1	1	Recap	J	2	1696	1695	0	12.5	NR	4
30/07/2020	Falls	1	1	Recap	J	2	1696	1695	0	13.5	NR	4
14/07/2020	Falls	3	1	New Tag	J	2	1698	1697	0	12.5	NR	4
14/07/2020	Falls	3	1	New Tag	J	2	1700	1699	0	14	NR	4
05/08/2020	Falls	7	1	Recap	SA	1	1702	1701	0	17.5	NSCR	4
19/08/2020	Falls	7	1	Recap	SA	1	1702	1701	0	18.5	NSCR	4
20/08/2020	Falls	7	1	Recap	SA	1	1702	1701	0	17.5	NSCR	4
21/08/2020	Falls	7	1	Recap	SA	1	1702	1701	0	17.5	NSCR	4
23/07/2020	Falls	7	1	New Tag	SA	1	1702	1701	0	17	NSCR	4
04/08/2020	Falls	7	1	Recap	SA	1	1704	1703	0	15.5	NSCR	4
19/08/2020	Falls	7	1	Recap	SA	1	1704	1703	0	14.5	NSCR	4
20/08/2020	Falls	7	1	Recap	SA	1	1704	1703	0	15	NSCR	4
21/08/2020	Falls	7	1	Recap	SA	1	1704	1703	0	15.5	NSCR	4
23/07/2020	Falls	7	1	New Tag	SA	1	1704	1703	0	14.5	NSCR	4
20/08/2020	Falls	7	1	Recap	A	2	1707	1706	0	19.5	NR	4
23/07/2020	Falls	7	1	New Tag	SA	2	1707	1706	0	17.5	PERF	4
23/07/2020	Falls	7	1	New Tag	SA	1	1709	1708	0	15.5	NSCR	4
05/08/2020	Falls	8	1	Recap	SA	2	1717	1716	0	15.5	NR	4
06/08/2020	Falls	8	1	Recap	SA	2	1717	1716	0	13.5	NR	4
21/08/2020	Falls	8	1	Recap	SA	2	1717	1716	0	17	NR	4
22/07/2020	Falls	8	1	New Tag	SA	2	1717	1716	0	14.5	NR	4
23/07/2020	Falls	8	1	Recap	SA	2	1717	1716	0	14.5	NR	4
06/08/2020	Falls	8	1	Recap	SA	1	1719	1718	0	18.5	NSCR	4
19/08/2020	Falls	8	1	Recap	SA	1	1719	1718	0	15	NSCR	4
20/08/2020	Falls	8	1	Recap	SA	1	1719	1718	0	18	NSCR	4
21/08/2020	Falls	8	1	Recap	SA	1	1719	1718	0	17	NSCR	4
